
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 587  0.031753  0.032959  0.033933
 588  0.031753  0.033027  0.034869
 589  0.031600  0.033006  0.033992
 590  0.030825  0.032950  0.036036
 591  0.031199  0.032878  0.034108
 592  0.031668  0.032851  0.034633
 593  0.031608  0.032915  0.034221
 594  0.031611  0.032972  0.034635
 595  0.031493  0.033025  0.034553
 596  0.031514  0.032964  0.034266
 597  0.031668  0.033032  0.034712
 598  0.031532  0.032989  0.034297
 599  0.031385  0.032965  0.034334
 600  0.030891  0.032883  0.034584
 601  0.031481  0.032914  0.034834
 602  0.031810  0.032872  0.034428
 603  0.031031  0.032856  0.034512
 604  0.031638  0.032872  0.034368
 605  0.031468  0.032872  0.034350
 606  0.031524  0.032862  0.033823
 607  0.031524  0.032842  0.034395
 608  0.031575  0.032879  0.034025
 609  0.031910  0.032960  0.034208
 610  0.031746  0.032974  0.033865
 611  0.032198  0.032972  0.034124
 612  0.031920  0.032946  0.033941
 613  0.031798  0.032973  0.034939
 614  0.031727  0.032967  0.034376
 615  0.031761  0.032954  0.034182
 616  0.031700  0.033018  0.034378
 617  0.031965  0.033094  0.034720
 618  0.032125  0.033097  0.034974
 619  0.031924  0.033021  0.034090
 620  0.031848  0.033021  0.035237
 621  0.031744  0.033057  0.034408
 622  0.031559  0.033020  0.033923
 623  0.032060  0.033103  0.034068
 624  0.031847  0.033057  0.034197
 625  0.031468  0.033014  0.034446
 626  0.031199  0.032985  0.034502
 627  0.032123  0.033018  0.034164
 628  0.032086  0.033041  0.034111
 629  0.031554  0.033061  0.034198
 630  0.031407  0.033070  0.034057
 631  0.032031  0.033046  0.034423
 632  0.031927  0.033020  0.033930
 633  0.031739  0.033059  0.034254
 634  0.031662  0.033039  0.034348
 635  0.032219  0.033129  0.034422
 636  0.032153  0.033133  0.034107
 637  0.031989  0.033111  0.034040
 638  0.031855  0.033165  0.034077
 639  0.031177  0.033127  0.035374
 640  0.031142  0.033062  0.034160
 641  0.031155  0.033114  0.034286
 642  0.030950  0.033143  0.034602
 643  0.031249  0.033110  0.036036
 644  0.031161  0.033040  0.034482
 645  0.031529  0.033015  0.035478
 646  0.031832  0.033045  0.033951
 647  0.031867  0.033038  0.035218
 648  0.031752  0.033045  0.034052
 649  0.031538  0.033002  0.034572
 650  0.031428  0.033034  0.035442
 651  0.031289  0.033045  0.034258
 652  0.031291  0.033048  0.034528
 653  0.031595  0.033034  0.034302
 654  0.031317  0.033033  0.034304
 655  0.031320  0.032978  0.034135
 656  0.031749  0.032998  0.034215
 657  0.031748  0.033032  0.034427
 658  0.032116  0.033036  0.034323
 659  0.032110  0.033050  0.034031
 660  0.031762  0.033069  0.034407
 661  0.032088  0.033046  0.034508
 662  0.031770  0.033085  0.034647
 663  0.032220  0.033126  0.034293
 664  0.031714  0.033165  0.036149
 665  0.031453  0.033104  0.034224
 666  0.030493  0.033152  0.037011
 667  0.031585  0.033049  0.035024
 668  0.031738  0.033007  0.034573
 669  0.031689  0.032964  0.034611
 670  0.031213  0.032957  0.034736
 671  0.031859  0.033003  0.034145
 672  0.031774  0.032971  0.034858
 673  0.031252  0.032954  0.034444
 674  0.031586  0.032975  0.034929
 675  0.031771  0.032947  0.034128
 676  0.031791  0.032918  0.033917
 677  0.031706  0.032928  0.034792
 678  0.031460  0.032952  0.034351
 679  0.031842  0.032875  0.033868
 680  0.031648  0.032891  0.034301
 681  0.031412  0.032813  0.034470
 682  0.031963  0.032847  0.034008
 683  0.031479  0.032881  0.035428
 684  0.031080  0.032885  0.035316
 685  0.031785  0.032934  0.034853
 686  0.031801  0.032884  0.034537
 687  0.031814  0.032915  0.034322
 688  0.031849  0.032933  0.034796
 689  0.031682  0.032885  0.034481
 690  0.031104  0.032859  0.039001
 691  0.031455  0.032751  0.034186
 692  0.031937  0.032837  0.034106
 693  0.031937  0.032873  0.034011
 694  0.031682  0.032919  0.034565
 695  0.031623  0.032871  0.034343
 696  0.031140  0.032949  0.033935
 697  0.031693  0.032955  0.034716
 698  0.031630  0.032962  0.034071
 699  0.031731  0.033021  0.034183
 700  0.031596  0.033039  0.033757
 701  0.030889  0.033064  0.034459
 702  0.031963  0.033067  0.034735
 703  0.031852  0.033014  0.034120
 704  0.031919  0.032977  0.034112
 705  0.031922  0.032962  0.034202
 706  0.031976  0.033026  0.034466
 707  0.031841  0.033026  0.034618
 708  0.031848  0.033027  0.035687
 709  0.031430  0.033020  0.034843
 710  0.031664  0.033044  0.035115
 711  0.031879  0.033060  0.034253
 712  0.031545  0.033111  0.035415
 713  0.031490  0.033038  0.034923
 714  0.031549  0.033013  0.034855
 715  0.031623  0.033067  0.034822
 716  0.031627  0.033113  0.034422
 717  0.031765  0.033063  0.034488
 718  0.031648  0.033182  0.035128
 719  0.031796  0.033088  0.035963
 720  0.031940  0.033076  0.034162
 721  0.031926  0.033044  0.034985
 722  0.032077  0.033108  0.034269
 723  0.032049  0.033107  0.035185
 724  0.031991  0.032990  0.034736
 725  0.031913  0.033101  0.034193
 726  0.032016  0.033081  0.034192
 727  0.032184  0.033098  0.033910
 728  0.031897  0.033123  0.034475
 729  0.031854  0.033095  0.034147
 730  0.031148  0.033052  0.034321
 731  0.031049  0.033004  0.036247
 732  0.031572  0.032996  0.034121
 733  0.031556  0.033059  0.034821
 734  0.032090  0.033148  0.035121
 735  0.031830  0.033107  0.034430
 736  0.032300  0.033117  0.034776
 737  0.031757  0.033109  0.034044
 738  0.031422  0.033058  0.034799
 739  0.031560  0.033059  0.034955
 740  0.031730  0.033008  0.034647
 741  0.031946  0.032994  0.034834
 742  0.031784  0.033062  0.033871
 743  0.031728  0.033079  0.034146
 744  0.031437  0.033088  0.034245
 745  0.031309  0.033076  0.036689
 746  0.031201  0.033071  0.036462
 747  0.031003  0.033077  0.037069
 748  0.030720  0.032978  0.034534
 749  0.031060  0.033082  0.035123
 750  0.031861  0.033099  0.034759
 751  0.031803  0.033064  0.035003
 752  0.031855  0.033128  0.034421
 753  0.031953  0.033181  0.034097
 754  0.032140  0.033275  0.034255
 755  0.031745  0.033237  0.035449
 756  0.031130  0.033138  0.035762
 757  0.030997  0.033131  0.034774
 758  0.031020  0.033086  0.034610
 759  0.031078  0.033169  0.036514
 760  0.031462  0.033153  0.034646
 761  0.031465  0.033131  0.034019
 762  0.031465  0.033060  0.034789
 763  0.031196  0.033176  0.035512
 764  0.031980  0.033075  0.034323
 765  0.031958  0.033104  0.034591
 766  0.031414  0.033122  0.035681
 767  0.031471  0.033109  0.034473
 768  0.031407  0.033028  0.034325
